shipment_id,order_id,shipment_date,carrier,tracking_number,delivery_date,shipment_status
103,103,17/08/2024,UPS,TRK754763,21/08/2024,Delivered
104,104,31/01/2024,DHL,TRK519260,04/02/2024,Shipped
105,105,24/03/2024,FedEx,TRK500835,30/03/2024,Pending
106,106,16/12/2023,UPS,TRK482352,18/12/2023,Pending
107,107,09/09/2024,DHL,TRK236734,11/09/2024,Delivered
108,108,23/04/2024,FedEx,TRK614517,29/04/2024,Shipped
109,109,06/10/2024,UPS,TRK836983,08/10/2024,Shipped
110,110,28/03/2024,DHL,TRK307787,02/04/2024,Cancelled
111,111,01/09/2024,FedEx,TRK422896,07/09/2024,Delivered
112,112,29/06/2024,UPS,TRK625442,02/07/2024,Shipped
113,113,11/11/2023,DHL,TRK913858,18/11/2023,Shipped
114,114,26/01/2024,FedEx,TRK417904,30/01/2024,Pending
115,115,28/10/2024,UPS,TRK047564,31/10/2024,Delivered
116,116,17/01/2024,DHL,TRK421959,18/01/2024,Shipped
117,117,01/06/2024,FedEx,TRK479789,08/06/2024,Cancelled
118,118,02/09/2024,UPS,TRK974354,07/09/2024,Delivered
119,119,23/06/2024,DHL,TRK699602,24/06/2024,Shipped
120,120,09/04/2024,FedEx,TRK761638,12/04/2024,Shipped
121,121,12/11/2023,UPS,TRK288041,15/11/2023,Delivered
122,122,25/08/2024,DHL,TRK660386,01/09/2024,Shipped
123,123,20/02/2024,FedEx,TRK284905,22/02/2024,Pending
124,124,22/09/2024,UPS,TRK876902,23/09/2024,Delivered
125,125,13/03/2024,DHL,TRK116437,16/03/2024,Shipped
126,126,11/09/2024,FedEx,TRK757174,14/09/2024,Shipped
127,127,04/09/2024,UPS,TRK943174,10/09/2024,Cancelled
128,128,16/06/2024,DHL,TRK233559,22/06/2024,Shipped
129,129,04/05/2024,FedEx,TRK477484,06/05/2024,Delivered
130,130,18/04/2024,UPS,TRK077977,25/04/2024,Delivered
131,131,17/05/2024,DHL,TRK850976,22/05/2024,Shipped
132,132,29/09/2024,FedEx,TRK785266,06/10/2024,Pending
133,133,13/10/2024,UPS,TRK802058,14/10/2024,Delivered
134,134,20/01/2024,DHL,TRK815000,27/01/2024,Shipped
135,135,25/09/2024,FedEx,TRK520023,26/09/2024,Cancelled
136,136,21/10/2024,UPS,TRK920637,25/10/2024,Pending
137,137,17/10/2024,DHL,TRK604502,21/10/2024,Shipped
138,138,02/01/2024,FedEx,TRK853084,03/01/2024,Shipped
139,139,28/11/2023,UPS,TRK517085,02/12/2023,Shipped
140,140,22/05/2024,DHL,TRK021790,30/05/2024,Pending
141,141,09/10/2024,FedEx,TRK469479,14/10/2024,Pending
142,142,18/09/2024,UPS,TRK244578,22/09/2024,Delivered
143,143,13/12/2023,DHL,TRK526994,17/12/2023,Shipped
144,144,28/08/2024,FedEx,TRK449442,02/09/2024,Pending
145,145,19/04/2024,UPS,TRK263485,22/04/2024,Shipped
146,146,14/03/2024,DHL,TRK400459,20/03/2024,Shipped
147,147,11/12/2023,FedEx,TRK451050,15/12/2023,Delivered
148,148,07/08/2024,UPS,TRK065105,14/08/2024,Delivered
149,149,09/07/2024,DHL,TRK290506,12/07/2024,Delivered
150,150,12/09/2024,FedEx,TRK146253,18/09/2024,Shipped
151,151,07/10/2024,UPS,TRK980624,15/10/2024,Shipped
152,152,28/08/2024,DHL,TRK613129,03/09/2024,Pending
153,153,20/04/2024,FedEx,TRK062053,27/04/2024,Shipped
154,154,11/07/2024,UPS,TRK470561,15/07/2024,Delivered
155,155,01/01/2024,DHL,TRK346265,08/01/2024,Delivered
156,156,08/04/2024,FedEx,TRK584422,10/04/2024,Delivered
157,157,30/07/2024,UPS,TRK967864,06/08/2024,Pending
158,158,21/06/2024,DHL,TRK816873,29/06/2024,Shipped
159,159,13/01/2024,FedEx,TRK548336,20/01/2024,Shipped
160,160,12/07/2024,UPS,TRK551540,19/07/2024,Shipped
161,161,14/12/2023,DHL,TRK195520,19/12/2023,Shipped
162,162,27/07/2024,FedEx,TRK200784,28/07/2024,Delivered
163,163,19/08/2024,UPS,TRK989466,23/08/2024,Pending
164,164,25/03/2024,DHL,TRK581776,27/03/2024,Shipped
165,165,18/12/2023,FedEx,TRK408465,21/12/2023,Shipped
166,166,12/01/2024,UPS,TRK151953,20/01/2024,Delivered
167,167,17/01/2024,DHL,TRK776340,24/01/2024,Delivered
168,168,21/06/2024,FedEx,TRK461789,27/06/2024,Shipped
169,169,05/07/2024,UPS,TRK637398,11/07/2024,Delivered
170,170,17/12/2023,DHL,TRK519780,23/12/2023,Shipped
171,171,26/09/2024,FedEx,TRK925215,30/09/2024,Pending
172,172,01/07/2024,UPS,TRK657620,04/07/2024,Cancelled
173,173,27/12/2023,DHL,TRK920980,29/12/2023,Delivered
174,174,10/05/2024,FedEx,TRK468701,13/05/2024,Pending
175,175,11/08/2024,UPS,TRK071714,18/08/2024,Shipped
176,176,23/02/2024,DHL,TRK309321,29/02/2024,Pending
177,177,22/03/2024,FedEx,TRK341124,29/03/2024,Shipped
178,178,24/12/2023,UPS,TRK252081,30/12/2023,Delivered
179,179,12/06/2024,DHL,TRK031087,16/06/2024,Delivered
180,180,21/01/2024,FedEx,TRK927295,27/01/2024,Shipped
181,181,22/03/2024,UPS,TRK833516,25/03/2024,Delivered
182,182,10/08/2024,DHL,TRK998814,12/08/2024,Delivered
183,183,14/06/2024,FedEx,TRK907389,16/06/2024,Delivered
184,184,04/08/2024,UPS,TRK307131,07/08/2024,Delivered
185,185,21/07/2024,DHL,TRK700340,27/07/2024,Pending
186,186,19/08/2024,FedEx,TRK757292,21/08/2024,Shipped
187,187,04/06/2024,UPS,TRK567514,05/06/2024,Shipped
188,188,17/01/2024,DHL,TRK427186,20/01/2024,Delivered
189,189,06/07/2024,FedEx,TRK790103,07/07/2024,Shipped
190,190,27/02/2024,UPS,TRK138842,03/03/2024,Pending
191,191,21/01/2024,DHL,TRK968004,24/01/2024,Delivered
192,192,16/04/2024,FedEx,TRK651030,21/04/2024,Delivered
193,193,04/11/2024,UPS,TRK484558,08/11/2024,Pending
194,194,20/09/2024,DHL,TRK714160,23/09/2024,Delivered
195,195,19/03/2024,FedEx,TRK802407,21/03/2024,Shipped
196,196,22/02/2024,UPS,TRK634481,25/02/2024,Shipped
197,197,09/09/2024,DHL,TRK771027,11/09/2024,Shipped
198,198,29/06/2024,FedEx,TRK762752,04/07/2024,Delivered
199,199,25/06/2024,UPS,TRK622781,30/06/2024,Delivered
200,200,31/01/2024,DHL,TRK479911,05/02/2024,Shipped
201,201,31/03/2024,FedEx,TRK120287,07/04/2024,Delivered
202,202,21/10/2024,UPS,TRK497929,25/10/2024,Shipped
203,203,24/11/2023,DHL,TRK599542,28/11/2023,Shipped
204,204,23/03/2024,FedEx,TRK658725,28/03/2024,Pending
205,205,12/05/2024,UPS,TRK757003,17/05/2024,Pending
206,206,07/05/2024,DHL,TRK159339,09/05/2024,Shipped
207,207,22/08/2024,FedEx,TRK116808,26/08/2024,Shipped
208,208,29/12/2023,UPS,TRK741357,02/01/2024,Shipped
209,209,03/04/2024,DHL,TRK149755,06/04/2024,Shipped
210,210,31/08/2024,FedEx,TRK722927,01/09/2024,Delivered
211,211,20/03/2024,UPS,TRK613072,22/03/2024,Shipped
212,212,14/08/2024,DHL,TRK635995,19/08/2024,Shipped
213,213,11/12/2023,FedEx,TRK618381,18/12/2023,Delivered
214,214,25/09/2024,UPS,TRK794179,02/10/2024,Pending
215,215,07/08/2024,DHL,TRK170352,10/08/2024,Shipped
216,216,30/10/2024,FedEx,TRK546533,02/11/2024,Shipped
217,217,07/05/2024,UPS,TRK660729,09/05/2024,Pending
218,218,19/01/2024,DHL,TRK960131,22/01/2024,Delivered
219,219,04/12/2023,FedEx,TRK123392,11/12/2023,Pending
220,220,25/01/2024,UPS,TRK551408,01/02/2024,Shipped
221,221,30/04/2024,DHL,TRK952712,04/05/2024,Cancelled
222,222,23/11/2023,FedEx,TRK561679,28/11/2023,Delivered
223,223,26/03/2024,UPS,TRK000178,31/03/2024,Shipped
224,224,25/03/2024,DHL,TRK466990,30/03/2024,Pending
225,225,04/01/2024,FedEx,TRK450201,09/01/2024,Delivered
226,226,09/06/2024,UPS,TRK838899,17/06/2024,Delivered
227,227,09/06/2024,DHL,TRK911143,16/06/2024,Shipped
228,228,17/10/2024,FedEx,TRK573881,19/10/2024,Pending
229,229,22/11/2023,UPS,TRK887216,24/11/2023,Delivered
230,230,11/02/2024,DHL,TRK259732,16/02/2024,Cancelled
231,231,23/10/2024,FedEx,TRK311317,30/10/2024,Delivered
232,232,24/08/2024,UPS,TRK800569,29/08/2024,Shipped
233,233,17/11/2023,DHL,TRK532812,23/11/2023,Delivered
234,234,29/09/2024,FedEx,TRK947776,06/10/2024,Pending
235,235,29/04/2024,UPS,TRK979475,02/05/2024,Shipped
236,236,15/03/2024,DHL,TRK978801,21/03/2024,Delivered
237,237,20/11/2023,FedEx,TRK099270,22/11/2023,Shipped
238,238,12/04/2024,UPS,TRK269510,13/04/2024,Delivered
239,239,12/08/2024,DHL,TRK979808,16/08/2024,Pending
240,240,18/09/2024,FedEx,TRK948923,25/09/2024,Delivered
241,241,26/02/2024,UPS,TRK602225,28/02/2024,Delivered
242,242,27/09/2024,DHL,TRK711051,02/10/2024,Shipped
243,243,30/08/2024,FedEx,TRK420473,06/09/2024,Shipped
244,244,13/11/2023,UPS,TRK885770,19/11/2023,Pending
245,245,27/08/2024,DHL,TRK823176,02/09/2024,Shipped
246,246,26/07/2024,FedEx,TRK734359,02/08/2024,Delivered
247,247,20/05/2024,UPS,TRK337976,24/05/2024,Pending
248,248,18/10/2024,DHL,TRK311659,25/10/2024,Pending
249,249,24/06/2024,FedEx,TRK313610,25/06/2024,Shipped
250,250,11/08/2024,UPS,TRK485711,12/08/2024,Delivered
251,251,16/12/2023,DHL,TRK878683,20/12/2023,Delivered
252,252,27/03/2024,FedEx,TRK019877,03/04/2024,Delivered
253,253,05/06/2024,UPS,TRK935298,10/06/2024,Shipped
254,254,11/10/2024,DHL,TRK498928,15/10/2024,Pending
255,255,21/09/2024,FedEx,TRK109810,22/09/2024,Delivered
256,256,10/10/2024,UPS,TRK249994,12/10/2024,Delivered
257,257,26/05/2024,DHL,TRK893758,31/05/2024,Delivered
258,258,19/01/2024,FedEx,TRK702239,23/01/2024,Delivered
259,259,17/06/2024,UPS,TRK959126,19/06/2024,Delivered
260,260,19/07/2024,DHL,TRK360921,20/07/2024,Pending
261,261,09/10/2024,FedEx,TRK999426,15/10/2024,Delivered
262,262,14/11/2023,UPS,TRK269867,22/11/2023,Shipped
263,263,24/07/2024,DHL,TRK975978,26/07/2024,Delivered
264,264,21/01/2024,FedEx,TRK423347,24/01/2024,Cancelled
265,265,25/06/2024,UPS,TRK849862,30/06/2024,Shipped
266,266,27/10/2024,DHL,TRK952116,28/10/2024,Shipped
267,267,23/04/2024,FedEx,TRK750829,26/04/2024,Shipped
268,268,21/09/2024,UPS,TRK777366,27/09/2024,Shipped
269,269,18/05/2024,DHL,TRK661250,19/05/2024,Pending
270,270,17/12/2023,FedEx,TRK342671,19/12/2023,Shipped
271,271,01/06/2024,UPS,TRK151164,07/06/2024,Delivered
272,272,23/01/2024,DHL,TRK725760,27/01/2024,Delivered
273,273,09/09/2024,FedEx,TRK337645,15/09/2024,Shipped
274,274,09/10/2024,UPS,TRK961231,12/10/2024,Delivered
275,275,19/01/2024,DHL,TRK454702,24/01/2024,Delivered
276,276,20/01/2024,FedEx,TRK742723,25/01/2024,Delivered
277,277,08/12/2023,UPS,TRK009431,10/12/2023,Delivered
278,278,21/06/2024,DHL,TRK659930,29/06/2024,Shipped
279,279,03/04/2024,FedEx,TRK165593,08/04/2024,Cancelled
280,280,25/09/2024,UPS,TRK766771,01/10/2024,Delivered
281,281,27/12/2023,DHL,TRK216708,30/12/2023,Shipped
282,282,08/04/2024,FedEx,TRK747963,10/04/2024,Shipped
283,283,13/11/2023,UPS,TRK083560,17/11/2023,Delivered
284,284,18/07/2024,DHL,TRK262287,21/07/2024,Delivered
285,285,31/05/2024,FedEx,TRK050171,08/06/2024,Shipped
286,286,24/05/2024,UPS,TRK693744,28/05/2024,Shipped
287,287,11/06/2024,DHL,TRK396776,13/06/2024,Pending
288,288,05/03/2024,FedEx,TRK673295,08/03/2024,Pending
289,289,16/08/2024,UPS,TRK329862,21/08/2024,Delivered
290,290,09/05/2024,DHL,TRK284736,14/05/2024,Delivered
291,291,04/02/2024,FedEx,TRK444141,06/02/2024,Delivered
292,292,24/06/2024,UPS,TRK109673,28/06/2024,Pending
293,293,16/04/2024,DHL,TRK361409,17/04/2024,Cancelled
294,294,26/08/2024,FedEx,TRK839025,29/08/2024,Pending
295,295,05/10/2024,UPS,TRK932379,13/10/2024,Cancelled
296,296,09/06/2024,DHL,TRK184044,13/06/2024,Shipped
297,297,25/11/2023,FedEx,TRK484527,26/11/2023,Pending
298,298,03/11/2024,UPS,TRK041950,11/11/2024,Delivered
299,299,25/10/2024,DHL,TRK273290,02/11/2024,Delivered
300,300,28/03/2024,FedEx,TRK533759,02/04/2024,Pending
301,301,30/08/2024,UPS,TRK611240,06/09/2024,Delivered
302,302,14/02/2024,DHL,TRK034046,20/02/2024,Delivered
303,303,21/06/2024,FedEx,TRK983766,25/06/2024,Shipped
304,304,26/12/2023,UPS,TRK618442,02/01/2024,Delivered
305,305,11/04/2024,DHL,TRK438086,17/04/2024,Delivered
306,306,28/01/2024,FedEx,TRK240590,31/01/2024,Pending
307,307,13/09/2024,UPS,TRK864558,15/09/2024,Delivered
308,308,26/04/2024,DHL,TRK001041,02/05/2024,Cancelled
309,309,20/03/2024,FedEx,TRK640405,24/03/2024,Delivered
310,310,02/08/2024,UPS,TRK902383,07/08/2024,Shipped
311,311,20/02/2024,DHL,TRK322376,27/02/2024,Shipped
312,312,25/11/2023,FedEx,TRK145267,02/12/2023,Delivered
313,313,19/01/2024,UPS,TRK188241,24/01/2024,Shipped
314,314,01/01/2024,DHL,TRK535982,02/01/2024,Pending
315,315,25/09/2024,FedEx,TRK111101,30/09/2024,Delivered
316,316,10/02/2024,UPS,TRK811055,17/02/2024,Shipped
317,317,21/12/2023,DHL,TRK812878,24/12/2023,Pending
318,318,04/05/2024,FedEx,TRK144233,08/05/2024,Delivered
319,319,27/05/2024,UPS,TRK869898,31/05/2024,Delivered
320,320,21/09/2024,DHL,TRK600618,29/09/2024,Delivered
321,321,28/06/2024,FedEx,TRK177368,29/06/2024,Shipped
322,322,12/11/2023,UPS,TRK080452,17/11/2023,Pending
323,323,17/04/2024,DHL,TRK517821,19/04/2024,Shipped
324,324,08/02/2024,FedEx,TRK018312,14/02/2024,Delivered
325,325,27/02/2024,UPS,TRK691409,02/03/2024,Delivered
326,326,13/09/2024,DHL,TRK234014,14/09/2024,Shipped
327,327,10/02/2024,FedEx,TRK500776,14/02/2024,Shipped
328,328,16/12/2023,UPS,TRK298029,23/12/2023,Delivered
329,329,15/06/2024,DHL,TRK455071,18/06/2024,Shipped
330,330,19/03/2024,FedEx,TRK565241,20/03/2024,Shipped
331,331,15/05/2024,UPS,TRK083094,16/05/2024,Shipped
332,332,08/08/2024,DHL,TRK847279,14/08/2024,Pending
333,333,11/01/2024,FedEx,TRK820122,12/01/2024,Pending
334,334,29/03/2024,UPS,TRK626160,05/04/2024,Delivered
335,335,06/01/2024,DHL,TRK692917,13/01/2024,Shipped
336,336,09/08/2024,FedEx,TRK284872,15/08/2024,Delivered
337,337,27/04/2024,UPS,TRK146916,30/04/2024,Shipped
338,338,09/06/2024,DHL,TRK405947,17/06/2024,Delivered
339,339,06/02/2024,FedEx,TRK378018,10/02/2024,Shipped
340,340,03/02/2024,UPS,TRK744530,09/02/2024,Shipped
341,341,03/08/2024,DHL,TRK900801,08/08/2024,Shipped
342,342,19/02/2024,FedEx,TRK616841,24/02/2024,Pending
343,343,20/04/2024,UPS,TRK951128,23/04/2024,Delivered
344,344,31/05/2024,DHL,TRK513880,05/06/2024,Delivered
345,345,03/02/2024,FedEx,TRK095420,08/02/2024,Shipped
346,346,25/10/2024,UPS,TRK964826,31/10/2024,Delivered
347,347,11/10/2024,DHL,TRK934226,14/10/2024,Shipped
348,348,24/02/2024,FedEx,TRK818166,25/02/2024,Shipped
349,349,19/08/2024,UPS,TRK485810,25/08/2024,Shipped
350,350,17/11/2023,DHL,TRK993833,23/11/2023,Shipped
351,351,22/12/2023,FedEx,TRK680472,28/12/2023,Pending
352,352,01/09/2024,UPS,TRK551722,08/09/2024,Pending
353,353,06/08/2024,DHL,TRK296346,09/08/2024,Pending
354,354,03/06/2024,FedEx,TRK999761,10/06/2024,Delivered
355,355,04/08/2024,UPS,TRK451832,11/08/2024,Shipped
356,356,10/05/2024,DHL,TRK214430,11/05/2024,Delivered
357,357,17/12/2023,FedEx,TRK789699,20/12/2023,Delivered
358,358,25/05/2024,UPS,TRK480191,27/05/2024,Shipped
359,359,19/04/2024,DHL,TRK369578,27/04/2024,Pending
360,360,20/02/2024,FedEx,TRK035018,27/02/2024,Delivered
361,361,26/10/2024,UPS,TRK066115,01/11/2024,Delivered
362,362,04/05/2024,DHL,TRK535727,07/05/2024,Pending
363,363,16/01/2024,FedEx,TRK780825,22/01/2024,Shipped
364,364,03/06/2024,UPS,TRK955755,06/06/2024,Delivered
365,365,05/10/2024,DHL,TRK386156,12/10/2024,Delivered
366,366,20/01/2024,FedEx,TRK323270,25/01/2024,Cancelled
367,367,18/04/2024,UPS,TRK955771,22/04/2024,Delivered
368,368,13/05/2024,DHL,TRK184151,20/05/2024,Pending
369,369,18/04/2024,FedEx,TRK280390,19/04/2024,Shipped
370,370,22/05/2024,UPS,TRK993058,29/05/2024,Shipped
371,371,08/04/2024,DHL,TRK576455,10/04/2024,Pending
372,372,16/12/2023,FedEx,TRK244697,24/12/2023,Pending
373,373,14/06/2024,UPS,TRK477320,21/06/2024,Pending
374,374,26/04/2024,DHL,TRK537732,28/04/2024,Shipped
375,375,04/11/2024,FedEx,TRK406136,08/11/2024,Delivered
376,376,27/01/2024,UPS,TRK883729,31/01/2024,Shipped
377,377,17/04/2024,DHL,TRK944081,20/04/2024,Shipped
378,378,01/01/2024,FedEx,TRK048693,06/01/2024,Pending
379,379,12/10/2024,UPS,TRK545706,19/10/2024,Shipped
380,380,28/09/2024,DHL,TRK348239,02/10/2024,Delivered
381,381,11/12/2023,FedEx,TRK999529,13/12/2023,Shipped
382,382,27/04/2024,UPS,TRK502526,29/04/2024,Shipped
383,383,31/08/2024,DHL,TRK995106,03/09/2024,Pending
384,384,26/12/2023,FedEx,TRK585814,29/12/2023,Shipped
385,385,27/07/2024,UPS,TRK495246,30/07/2024,Shipped
386,386,30/01/2024,DHL,TRK403171,04/02/2024,Delivered
387,387,22/06/2024,FedEx,TRK091888,29/06/2024,Pending
388,388,25/01/2024,UPS,TRK614430,30/01/2024,Delivered
389,389,12/10/2024,DHL,TRK667677,16/10/2024,Delivered
390,390,19/02/2024,FedEx,TRK900704,23/02/2024,Delivered
391,391,30/06/2024,UPS,TRK254989,04/07/2024,Shipped
392,392,21/02/2024,DHL,TRK916014,26/02/2024,Pending
393,393,14/03/2024,FedEx,TRK713606,18/03/2024,Pending
394,394,27/01/2024,UPS,TRK527199,03/02/2024,Delivered
395,395,07/10/2024,DHL,TRK910872,12/10/2024,Delivered
396,396,02/11/2024,FedEx,TRK291084,05/11/2024,Shipped
397,397,16/02/2024,UPS,TRK690238,19/02/2024,Shipped
398,398,29/08/2024,DHL,TRK523724,30/08/2024,Delivered
399,399,22/08/2024,FedEx,TRK485851,23/08/2024,Pending
400,400,14/06/2024,UPS,TRK812509,18/06/2024,Delivered
401,401,17/08/2024,DHL,TRK584033,21/08/2024,Delivered
402,402,14/01/2024,FedEx,TRK534476,16/01/2024,Pending
403,403,27/10/2024,UPS,TRK073745,28/10/2024,Shipped
404,404,20/03/2024,DHL,TRK379041,23/03/2024,Delivered
405,405,16/02/2024,FedEx,TRK019686,22/02/2024,Pending
406,406,09/06/2024,UPS,TRK768714,14/06/2024,Pending
407,407,27/04/2024,DHL,TRK670474,01/05/2024,Pending
408,408,28/12/2023,FedEx,TRK225050,31/12/2023,Delivered
409,409,20/06/2024,UPS,TRK461550,22/06/2024,Shipped
410,410,15/10/2024,DHL,TRK671768,22/10/2024,Shipped
411,411,20/02/2024,FedEx,TRK662236,21/02/2024,Delivered
412,412,10/10/2024,UPS,TRK798441,18/10/2024,Delivered
413,413,05/08/2024,DHL,TRK675081,07/08/2024,Shipped
414,414,09/07/2024,FedEx,TRK943611,15/07/2024,Shipped
415,415,20/07/2024,UPS,TRK929734,27/07/2024,Pending
416,416,21/05/2024,DHL,TRK600365,25/05/2024,Shipped
417,417,04/04/2024,FedEx,TRK622031,09/04/2024,Shipped
418,418,27/01/2024,UPS,TRK678843,01/02/2024,Cancelled
419,419,06/01/2024,DHL,TRK269342,09/01/2024,Pending
420,420,25/09/2024,FedEx,TRK351957,29/09/2024,Shipped
